Machine_ID,Temperature,Run_Time,Downtime_Flag
M4,52.7,484.49,0
M5,111.52,198.28,0
M3,72.05,103.64,0
M5,59.03,273.52,0
M5,82.79,243.59,0
M2,91.88,315.64,0
M3,52.17,418.71,0
M3,69.24,436.97,0
M3,52.3,260.49,0
M5,79.42,271.94,0
M4,112.66,159.27,1
M3,118.79,119.02,0
M5,94.59,356.49,0
M2,61.31,125.78,0
M4,113.41,393.53,1
M2,86.14,315.64,0
M4,60.76,179.43,1
M5,114.52,315.81,1
M1,103.02,173.2,0
M4,101.22,275.49,0
M2,99.64,419.82,1
M5,64.02,284.77,0
M4,64.77,159.48,0
M1,98.18,389.53,0
M1,65.38,174.71,0
M3,80.71,395.42,0
M3,104.74,291.74,0
M2,104.88,281.5,0
M4,81.73,440.57,1
M4,105.45,383.44,0
M3,108.7,113.16,1
M4,95.83,218.47,0
M4,65.99,448.37,0
M1,69.18,107.33,0
M3,72.04,318.1,0
M5,58.18,391.13,1
M3,69.12,348.74,0
M5,64.67,404.21,1
M1,81.87,390.28,0
M2,113.59,376.81,0
M4,57.31,428.62,0
M1,100.42,358.28,0
M4,98.11,260.97,0
M2,56.7,288.76,0
M2,114.58,386.69,0
M1,89.79,450.52,0
M2,75.46,208.89,0
M5,102.96,236.83,0
M2,68.02,472.3,1
M4,98.55,331.4,0
M4,52.78,171.58,0
M4,108.76,365.48,0
M4,81.37,496.3,0
M5,94.57,429.38,0
M3,65.49,398.3,1
M1,97.4,183.22,1
M4,104.06,450.46,0
M2,83.12,310.32,0
M4,93.24,455.72,0
M2,81.94,231.93,1
M2,112.59,124.82,0
M4,84.85,290.39,0
M5,108.93,207.94,1
M2,106.09,386.09,0
M2,78.74,482.84,0
M4,66.11,376.39,1
M2,78.43,454.77,1
M2,107.84,281.21,0
M4,65.93,408.66,0
M4,86.71,437.22,0
M1,106.43,384.35,1
M5,74.74,303.11,1
M5,94.95,350.35,0
M2,67.19,380.2,0
M5,57.65,201.23,0
M2,105.61,423.83,0
M1,56.93,480.13,0
M4,69.0,286.1,0
M4,109.86,380.43,0
M4,74.25,394.81,0
M5,118.11,364.9,1
M1,118.58,318.85,0
M5,68.78,452.66,0
M5,52.87,279.57,0
M1,99.35,124.44,0
M1,81.57,437.82,0
M1,57.05,369.59,0
M1,99.53,439.7,0
M4,52.18,155.42,0
M3,110.91,112.3,0
M3,59.71,473.75,0
M1,58.91,159.09,0
M3,62.3,423.86,0
M3,117.22,429.28,0
M1,98.52,383.48,0
M3,106.1,152.5,0
M5,77.83,366.96,0
M2,73.54,455.63,0
M2,66.41,270.21,1
M1,83.65,265.41,0
M4,88.63,277.14,0
M1,94.22,132.91,0
M4,68.0,456.81,0
M2,116.41,447.67,0
M1,61.88,499.16,0
M5,117.6,334.07,1
